"201404","STATEN ISLAND","168","1"
"201405",,"834","1"
"201405","BRONX","403","0"
"201405","BROOKLYN","941","2"
"201405","MANHATTAN","737","0"
"201405","QUEENS","762","0"
"201405","STATEN ISLAND","128","0"
"201406",,"921","0"
"201406","BRONX","438","1"
"201406","BROOKLYN","972","2"
"201406","MANHATTAN","730","0"
"201406","QUEENS","931","1"
"201406","STATEN ISLAND","165","0"
"201407",,"914","1"
"201407","BRONX","488","0"
"201407","BROOKLYN","945","2"
"201407","MANHATTAN","762","0"
"201407","QUEENS","894","0"
"201407","STATEN ISLAND","168","0"
"201408",,"880","3"
"201408","BRONX","363","0"
"201408","BROOKLYN","809","1"
"201408","MANHATTAN","700","0"
"201408","QUEENS","770","0"
"201408","STATEN ISLAND","139","0"
"201409",,"883","1"
"201409","BRONX","379","0"
"201409","BROOKLYN","831","0"
"201409","MANHATTAN","712","0"
"201409","QUEENS","715","0"
"201409","STATEN ISLAND","137","0"
"201410",,"795","0"
"201410","BRONX","360","0"
"201410","BROOKLYN","819","2"
"201410","MANHATTAN","664","0"
"201410","QUEENS","719","3"
"201410","STATEN ISLAND","112","0"
"201411",,"852","0"
"201411","BRONX","326","0"
"201411","BROOKLYN","869","1"
"201411","MANHATTAN","728","1"
"201411","QUEENS","699","0"
"201411","STATEN ISLAND","123","0"
"201412",,"902","2"
"201412","BRONX","358","0"
"201412","BROOKLYN","867","3"
"201412","MANHATTAN","762","0"
"201412","QUEENS","718","0"
"201412","STATEN ISLAND","123","0"
"201413",,"827","2"
"201413","BRONX","377","1"
"201413","BROOKLYN","847","0"
"201413","MANHATTAN","721","1"
"201413","QUEENS","757","1"
"201413","STATEN ISLAND","127","0"
"201414",,"947","1"
"201414","BRONX","347","1"
"201414","BROOKLYN","928","2"
"201414","MANHATTAN","797","0"
"201414","QUEENS","764","1"
"201414","STATEN ISLAND","119","1"
"201415",,"945","1"
"201415","BRONX","402","0"
"201415","BROOKLYN","960","1"
"201415","MANHATTAN","818","1"
"201415","QUEENS","778","0"
"201415","STATEN ISLAND","141","0"
"201416",,"849","1"
"201416","BRONX","346","0"
"201416","BROOKLYN","770","1"
"201416","MANHATTAN","728","1"
"201416","QUEENS","667","0"
"201416","STATEN ISLAND","93","0"
"201417",,"917","1"
"201417","BRONX","328","0"
"201417","BROOKLYN","813","1"
"201417","MANHATTAN","799","0"
"201417","QUEENS","749","2"
"201417","STATEN ISLAND","108","0"
"201418",,"1009","1"
"201418","BRONX","392","1"
"201418","BROOKLYN","974","2"
"201418","MANHATTAN","870","1"
"201418","QUEENS","819","1"
"201418","STATEN ISLAND","128","0"
"201419",,"1027","1"
"201419","BRONX","378","0"
"201419","BROOKLYN","914","2"
"201419","MANHATTAN","847","2"
"201419","QUEENS","821","1"
"201419","STATEN ISLAND","112","0"
"201420",,"1086","3"
"201420","BRONX","355","0"
"201420","BROOKLYN","990","0"
"201420","MANHATTAN","939","1"
"201420","QUEENS","750","0"
"201420","STATEN ISLAND","141","0"
"201421",,"1007","1"
"201421","BRONX","371","1"
"201421","BROOKLYN","929","4"
"201421","MANHATTAN","820","0"
"201421","QUEENS","764","3"
"201421","STATEN ISLAND","117","0"
"201422",,"1023","2"
"201422","BRONX","401","0"
"201422","BROOKLYN","947","1"
"201422","MANHATTAN","838","0"
"201422","QUEENS","798","0"
"201422","STATEN ISLAND","111","0"
"201423",,"1036","1"
"201423","BRONX","391","1"
"201423","BROOKLYN","1005","1"
"201423","MANHATTAN","900","1"
"201423","QUEENS","853","3"
"201423","STATEN ISLAND","153","1"
"201424",,"943","1"
"201424","BRONX","380","0"
"201424","BROOKLYN","961","2"
"201424","MANHATTAN","817","0"
"201424","QUEENS","776","3"
"201424","STATEN ISLAND","151","1"
"201425",,"1075","3"
"201425","BRONX","419","0"
"201425","BROOKLYN","1024","0"
"201425","MANHATTAN","878","0"
"201425","QUEENS","881","0"
"201425","STATEN ISLAND","147","0"
"201426",,"1071","1"
"201426","BRONX","455","0"
"201426","BROOKLYN","994","2"
"201426","MANHATTAN","859","0"
"201426","QUEENS","882","1"
"201426","STATEN ISLAND","136","0"
"201427",,"974","2"
"201427","BRONX","373","0"
"201427","BROOKLYN","944","2"
"201427","MANHATTAN","748","1"
"201427","QUEENS","776","2"
"201427","STATEN ISLAND","123","0"
"201428",,"958","0"
"201428","BRONX","404","0"
"201428","BROOKLYN","925","2"
"201428","MANHATTAN","791","1"
"201428","QUEENS","776","1"
"201428","STATEN ISLAND","135","0"
"201429",,"951","2"
"201429","BRONX","345","0"
"201429","BROOKLYN","867","2"
